,BuildingType,PrimaryPropertyType,YearBuilt,NumberofFloors,PropertyGFATotal,LargestPropertyUseType,Neighborhood,NumberofBuildings,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,distance,Autre,Bureau,Commercial,Hotel / Restaurant,Industrial,Loisirs,Public,Residential,Santé,Scolaire,Service,industrial
1967,NonResidential,Autre,1960,1,24109,Industrial,GREATER DUWAMISH,1.0,,4747403.5,33.1,3.388244657150692,0,0,0,0,1,0,0,0,0,0,0,0
1968,NonResidential,Industrial,1955,1,25375,industrial,GREATER DUWAMISH,1.0,,4069301.5,28.37,3.239614158552843,0,0,0,0,0,0,0,0,0,0,0,1
1969,Nonresidential COS,Industrial,1985,1,22803,Industrial,GREATER DUWAMISH,1.0,78.0,764094.5,21.5,2.994104824742408,0,0,0,0,1,0,0,0,0,0,0,0
1970,Nonresidential COS,Autre,1985,1,23100,Bureau,GREATER DUWAMISH,1.0,,4323672.0,157.07,2.994104824742408,0,1,0,0,0,0,0,0,0,0,0,0
1971,NonResidential,Industrial,1951,1,41550,industrial,GREATER DUWAMISH,1.0,94.0,642645.1875,4.48,3.1417889437413513,0,0,0,0,0,0,0,0,0,0,0,1
1972,NonResidential,Autre,1994,2,54170,Autre,GREATER DUWAMISH,1.0,,5804784.5,178.35,9.165324517993318,1,0,0,0,0,0,0,0,0,0,0,0
1973,SPS-District K-12,Scolaire,2000,2,64493,Scolaire,GREATER DUWAMISH,1.0,85.0,1989763.875,28.57,8.999674940354017,0,0,0,0,0,0,0,0,0,1,0,0
1974,NonResidential,Scolaire,1912,2,42252,Scolaire,SOUTHEAST,1.0,49.0,2203758.5,102.35,7.870150029040213,0,0,0,0,0,0,0,0,0,1,0,0
1975,NonResidential,Industrial,1955,1,23100,Service,GREATER DUWAMISH,1.0,,863703.0,13.87,8.060064614606315,0,0,0,0,0,0,0,0,0,0,1,0
1976,NonResidential,Autre,1981,3,22895,Autre,SOUTHEAST,1.0,96.0,440419.1875,12.92,8.480572741103742,1,0,0,0,0,0,0,0,0,0,0,0
